job_title,soft_skill
Elementary School Teacher,Communication|Empathy|Patience|Creativity|Classroom Management
High School Teacher,Communication|Presentation Skills|Adaptability|Critical Thinking|Mentoring
Preschool Teacher,Empathy|Patience|Creativity|Communication|Team Leadership
Special Education Teacher,Empathy|Adaptability|Patience|Problem Solving|Communication
School Counselor,Empathy|Listening|Communication|Conflict Resolution|Decision Making
Academic Advisor,Communication|Listening|Problem Solving|Relationship Building|Time Management
Education Administrator,Leadership|Strategic Thinking|Decision Making|Stakeholder Management|Communication
Librarian,Organization|Communication|Attention to Detail|Customer Relations|Research
Teaching Assistant,Communication|Team Leadership|Patience|Organization|Adaptability
Instructional Designer,Creativity|Communication|Analytical Thinking|Problem Solving|Technical Understanding
Social Worker,Empathy|Communication|Problem Solving|Relationship Building|Confidentiality
Clinical Social Worker,Empathy|Listening|Conflict Resolution|Critical Thinking|Confidentiality
Child Welfare Specialist,Empathy|Communication|Decision Making|Problem Solving|Ethics
Community Outreach Coordinator,Relationship Building|Communication|Team Leadership|Adaptability|Persuasion
Case Manager,Organization|Communication|Empathy|Time Management|Problem Solving
Youth Counselor,Empathy|Listening|Communication|Conflict Resolution|Patience
Substance Abuse Counselor,Empathy|Communication|Listening|Persuasion|Confidentiality
Family Therapist,Empathy|Conflict Resolution|Communication|Listening|Critical Thinking
Mental Health Counselor,Empathy|Listening|Communication|Problem Solving|Confidentiality
Social Service Manager,Leadership|Strategic Thinking|Team Leadership|Stakeholder Management|Decision Making
Adult Education Instructor,Communication|Presentation Skills|Adaptability|Creativity|Mentoring
Career Counselor,Communication|Listening|Relationship Building|Decision Making|Problem Solving
School Principal,Leadership|Strategic Thinking|Decision Making|Stakeholder Management|Communication|Vision
Early Childhood Educator,Empathy|Patience|Creativity|Communication|Team Leadership
Education Program Coordinator,Communication|Organization|Team Leadership|Stakeholder Management|Problem Solving
Social Work Assistant,Communication|Empathy|Organization|Time Management|Confidentiality
Rehabilitation Counselor,Empathy|Communication|Problem Solving|Listening|Adaptability
Nonprofit Program Manager,Leadership|Strategic Thinking|Relationship Building|Communication|Stakeholder Management
Community Health Worker,Communication|Empathy|Relationship Building|Cultural Awareness|Adaptability
Adoption Specialist,Empathy|Communication|Decision Making|Confidentiality|Relationship Building
Professor,Communication|Presentation Skills|Critical Thinking|Research|Mentoring
Academic Researcher,Analytical Thinking|Critical Thinking|Research|Communication|Attention to Detail
ESL Teacher,Communication|Cultural Awareness|Patience|Creativity|Adaptability
School Psychologist,Empathy|Analytical Thinking|Communication|Problem Solving|Confidentiality
Curriculum Developer,Creativity|Analytical Thinking|Communication|Organization|Technical Understanding
Vocational Counselor,Communication|Listening|Relationship Building|Problem Solving|Decision Making
Education Consultant,Strategic Thinking|Communication|Problem Solving|Stakeholder Management|Leadership
Social Policy Analyst,Analytical Thinking|Critical Thinking|Research|Communication|Strategic Thinking
Crisis Intervention Specialist,Empathy|Communication|Crisis Management|Decision Making|Listening
Peer Support Specialist,Empathy|Communication|Relationship Building|Listening|Adaptability
Education Outreach Specialist,Communication|Relationship Building|Persuasion|Team Leadership|Adaptability
Foster Care Worker,Empathy|Communication|Decision Making|Confidentiality|Problem Solving
Childcare Worker,Empathy|Patience|Communication|Creativity|Safety Consciousness
Learning Support Specialist,Empathy|Communication|Problem Solving|Patience|Adaptability
Student Affairs Coordinator,Communication|Team Leadership|Relationship Building|Organization|Adaptability
Therapeutic Support Worker,Empathy|Communication|Listening|Patience|Confidentiality
Education Technology Specialist,Technical Understanding|Communication|Creativity|Problem Solving|Analytical Thinking
Housing Support Worker,Empathy|Communication|Relationship Building|Problem Solving|Organization
Disability Support Worker,Empathy|Patience|Communication|Adaptability|Safety Consciousness
