job_title,interest
Electrician,Electrical Systems|Technology|Troubleshooting|Hands-on Work|Safety
Plumber,Plumbing Systems|Problem Solving|Construction|Hands-on Work|Water Management
Carpenter,Woodworking|Craftsmanship|Construction|Design|Hands-on Work
HVAC Technician,HVAC Technology|Mechanical Systems|Troubleshooting|Comfort Systems|Hands-on Work
Welder,Metalwork|Craftsmanship|Construction|Technology|Hands-on Work
Auto Mechanic,Automotive Technology|Mechanical Systems|Troubleshooting|Cars|Hands-on Work
Mason,Masonry|Construction|Craftsmanship|Architecture|Hands-on Work
Painter,Painting|Art|Design|Color Theory|Hands-on Work
Roofer,Roofing|Construction|Outdoor Work|Physical Activity|Hands-on Work
Construction Laborer,Construction|Physical Work|Teamwork|Outdoor Work|Building Projects
Heavy Equipment Operator,Heavy Machinery|Construction|Technology|Outdoor Work|Hands-on Work
Pipefitter,Piping Systems|Construction|Mechanical Systems|Problem Solving|Hands-on Work
Boilermaker,Boiler Systems|Metalwork|Construction|Craftsmanship|Hands-on Work
Sheet Metal Worker,Metal Fabrication|Construction|Craftsmanship|Design|Hands-on Work
Elevator Mechanic,Elevator Systems|Technology|Mechanical Systems|Troubleshooting|Hands-on Work
Glazier,Glasswork|Construction|Design|Craftsmanship|Hands-on Work
Tile Setter,Tiling|Design|Craftsmanship|Art|Hands-on Work
Drywall Installer,Construction|Craftsmanship|Building Design|Physical Work|Hands-on Work
Concrete Finisher,Concrete Work|Construction|Craftsmanship|Outdoor Work|Hands-on Work
Landscaper,Landscaping|Nature|Design|Outdoor Work|Gardening
Pest Control Technician,Pest Management|Science|Problem Solving|Outdoor Work|Safety
Cleaner,Cleaning|Organization|Indoor Work|Detail-Oriented Tasks|Routine Work
Security Guard,Security|Safety|Observation|Public Interaction|Protection
Locksmith,Lock Systems|Security|Problem Solving|Troubleshooting|Hands-on Work
Appliance Repair Technician,Appliance Technology|Troubleshooting|Mechanical Systems|Hands-on Work|Problem Solving
Maintenance Worker,Facility Maintenance|Problem Solving|Troubleshooting|Hands-on Work|Building Systems
Janitor,Cleaning|Organization|Routine Work|Indoor Work|Detail-Oriented Tasks
Handyman,Home Improvement|Problem Solving|Construction|Hands-on Work|Variety
Delivery Driver,Driving|Logistics|Travel|Customer Interaction|Navigation
Bus Driver,Public Transportation|Driving|Customer Service|Safety|Community
Taxi Driver,Driving|Customer Service|Navigation|Travel|Flexibility
Warehouse Worker,Warehouse Operations|Logistics|Physical Work|Teamwork|Organization
Forklift Operator,Forklift Technology|Logistics|Warehouse Management|Safety|Hands-on Work
Parking Attendant,Parking Management|Customer Service|Observation|Routine Work|Public Interaction
Barber,Hair Styling|Fashion|Creativity|Customer Interaction|Personal Care
Hairdresser,Hair Design|Fashion|Creativity|Customer Interaction|Beauty
Cook,Cooking|Food|Creativity|Culinary Arts|Teamwork
Waiter/Waitress,Food Service|Customer Interaction|Hospitality|Teamwork|Fast-Paced Work
Bartender,Mixology|Hospitality|Customer Interaction|Creativity|Socializing
Tailor,Tailoring|Fashion|Craftsmanship|Creativity|Detail-Oriented Work
Upholsterer,Upholstery|Craftsmanship|Furniture Design|Creativity|Hands-on Work
Shoe Repairer,Shoe Repair|Craftsmanship|Fashion|Detail-Oriented Work|Hands-on Work
Laundry Worker,Laundry Processes|Organization|Routine Work|Detail-Oriented Tasks|Textiles
Gardener,Gardening|Nature|Outdoor Work|Design|Plant Care
Housekeeper,Housekeeping|Organization|Customer Service|Detail-Oriented Tasks|Indoor Work
Moving Specialist,Moving Logistics|Physical Work|Teamwork|Customer Interaction|Problem Solving
Waste Collector,Waste Management|Environmental Awareness|Physical Work|Outdoor Work|Community Service
Automotive Detailer,Car Detailing|Automotive Care|Detail-Oriented Work|Creativity|Hands-on Work
Personal Care Aide,Personal Care|Helping Others|Health & Wellness|Empathy|Daily Living Support
