job_title,hard_skill
Logistics Coordinator,Logistics|Supply Chain Management|Excel|Inventory Management|Data Analysis
Truck Driver,Vehicle Operation|Logistics|Safety Regulations|GPS Navigation|Basic Maintenance
Warehouse Worker,Inventory Management|Forklift Operation|Logistics|Excel|Quality Control
Delivery Driver,GPS Navigation|Logistics|Customer Service|Time Management|Vehicle Operation
Freight Forwarder,Logistics|Supply Chain Management|Customs Documentation|Data Analysis|Contract Negotiation
Logistics Analyst,Data Analysis|Supply Chain Management|Excel|Forecasting|Statistical Analysis
Transportation Planner,Logistics|GIS|Data Analysis|Route Optimization|Supply Chain Management
Warehouse Supervisor,Inventory Management|Logistics|Quality Control|Excel|Process Improvement
Fleet Coordinator,Fleet Management|Logistics|Excel|Data Analysis|Vehicle Maintenance
Dispatch Supervisor,Logistics|Dispatch Software|Data Analysis|Excel|Supply Chain Management
Supply Chain Manager,Supply Chain Management|Logistics|Data Analysis|Strategic Planning|Forecasting|Budgeting
Transportation Manager,Logistics|Fleet Management|Route Optimization|Data Analysis|Supply Chain Management|Budgeting
Warehouse Manager,Inventory Management|Logistics|Quality Control|Process Improvement|Excel|Budgeting
Fleet Manager,Fleet Management|Logistics|Data Analysis|Vehicle Maintenance|Contract Negotiation|Budgeting
Air Traffic Controller,Air Traffic Control Systems|Aviation Operations|Data Analysis|Safety Regulations|Communication Systems
Shipping Clerk,Logistics|Inventory Management|Excel|Shipping Software|Data Preprocessing
Inventory Control Specialist,Inventory Management|Data Analysis|Excel|Quality Control|Forecasting
Customs Broker,Customs Documentation|Logistics|Regulatory Compliance|Data Analysis|Contract Negotiation
Railway Operator,Railway Systems|Logistics|Safety Regulations|Technical Maintenance|Data Preprocessing
Aviation Mechanic,Aviation Maintenance|Technical Maintenance|Quality Control|Safety Regulations|Data Analysis
Logistics Consultant,Supply Chain Management|Data Analysis|Strategic Planning|Logistics|Forecasting|Business Analysis
Courier,GPS Navigation|Logistics|Customer Service|Time Management|Vehicle Operation
Distribution Manager,Logistics|Supply Chain Management|Inventory Management|Data Analysis|Route Optimization|Budgeting
Traffic Manager,Traffic Analysis|Data Analysis|GIS|Logistics|Route Optimization
Forklift Operator,Forklift Operation|Inventory Management|Safety Regulations|Logistics|Quality Control
Port Operator,Port Operations|Logistics|Inventory Management|Safety Regulations|Data Analysis
Supply Chain Analyst,Supply Chain Management|Data Analysis|Forecasting|Excel|Statistical Analysis|Business Analysis
Route Optimizer,Route Optimization|GIS|Data Analysis|Logistics|Excel
Cargo Inspector,Cargo Inspection|Quality Control|Logistics|Safety Regulations|Data Analysis
Airline Pilot,Flight Operations|Aviation Operations|Safety Regulations|Navigation Systems|Technical Maintenance
Freight Broker,Contract Negotiation|Logistics|Supply Chain Management|Data Analysis|CRM
Ground Crew Member,Aviation Operations|Safety Regulations|Ground Handling|Inventory Management|Quality Control
Logistics Operations Manager,Logistics|Supply Chain Management|Data Analysis|Strategic Planning|Budgeting|Process Improvement
Supply Chain Coordinator,Logistics|Supply Chain Management|Excel|Inventory Management|Data Analysis
Transportation Safety Officer,Safety Regulations|Risk Assessment|Data Analysis|Logistics|Regulatory Compliance
Railway Dispatcher,Railway Systems|Dispatch Software|Data Analysis|Logistics|Safety Regulations
Bus Driver,Vehicle Operation|GPS Navigation|Safety Regulations|Customer Service|Basic Maintenance
Dock Worker,Dock Operations|Inventory Management|Safety Regulations|Logistics|Quality Control
Aviation Safety Inspector,Aviation Operations|Safety Regulations|Risk Assessment|Data Analysis|Quality Control
Ocean Freight Manager,Logistics|Supply Chain Management|Ocean Freight Operations|Contract Negotiation|Data Analysis|Regulatory Compliance
Inventory Manager,Inventory Management|Data Analysis|Excel|Forecasting|Quality Control|Supply Chain Management
Trucking Dispatcher,Dispatch Software|Logistics|Data Analysis|Excel|Customer Service
Air Cargo Handler,Cargo Handling|Logistics|Inventory Management|Safety Regulations|Quality Control
Supply Chain Director,Supply Chain Management|Strategic Planning|Data Analysis|Forecasting|Business Analysis|Budgeting|Logistics
Logistics Software Specialist,Logistics Software|Programming|Data Analysis|Excel|Supply Chain Management
Transportation Engineer,GIS|Traffic Analysis|Data Analysis|Logistics|Project Management|Route Optimization
Warehouse Operations Analyst,Inventory Management|Data Analysis|Excel|Process Improvement|Logistics|Quality Control
Freight Auditor,Data Analysis|Excel|Logistics|Financial Analysis|Contract Negotiation
Delivery Operations Manager,Logistics|Supply Chain Management|Route Optimization|Data Analysis|Customer Service|Budgeting
Import/Export Specialist,Logistics|Customs Documentation|Regulatory Compliance|Data Analysis|Contract Negotiation|Supply Chain Management
